"12465","01:56:40"
"12465","01:56:44"
"12465","01:56:48"
"12466","01:56:53"
"12467","01:56:57"
"12467","01:57:01"
"12467","01:57:05"
"12468","01:57:10"
"12468","01:57:14"
"12468","01:57:18"
"12468","01:57:22"
"12468","01:57:27"
"12468","01:57:31"
"12468","01:57:35"
"12468","01:57:39"
"12468","01:57:43"
"12469","01:57:48"
"12469","01:57:52"
"12469","01:57:56"
"12469","01:58:00"
"12469","01:58:05"
"12470","01:58:09"
"12470","01:58:13"
"12470","01:58:17"
"12470","01:58:22"
"12470","02:04:44"
"12470","02:04:49"
"12470","02:04:53"
"12482","15:28:00"
"12482","15:28:04"
"12482","15:28:09"
